排名,种类,书名,作者,月票数量
29,科幻,港综世界大枭雄,萌俊,18309
30,玄幻,沧元图,我吃西红柿,18181
31,历史,红楼春,屋外风吹凉,16865
32,轻小说,我真没想当训练家啊,北川南海,16234
33,仙侠,烂柯棋缘,真费事,15658
34,奇幻,天启预报,风月,15439
35,都市,重生过去震八方,锋临天下,14799
36,历史,东晋北府一丘八,指云笑天道1,14760
37,科幻,每天都离现形更近一步,陈词懒调,14084
38,历史,大唐扫把星,迪巴拉爵士,14073
39,体育,我真的只是想打铁,静悄悄地写,13903
40,轻小说,我在东京教剑道,范马加藤惠,13555
41,科幻,在港综成为传说,凤嘲凰,12801
42,仙侠,我不可能是剑神,裴不了,12508
43,轻小说,柯南之我不是蛇精病,烟火酒颂,12298
44,仙侠,我在斩妖司除魔三十年,贰更,12044
45,玄幻,圣墟,辰东,12016
46,都市,我只想自力更生,中秋月明,11748
47,都市,这个诅咒太棒了,行者有三,11699
48,轻小说,怪物被杀就会死,阴天神隐,11471
49,都市,平常人类的平凡生活,何处可桃,11419
50,都市,警探长,奉义天涯,11379
51,轻小说,只想退休的我被迫成了大将,咸鱼军头,11376
52,历史,新书,七月新番,11326
53,都市,我的1978小农庄,名窑,11244
54,游戏,法爷永远是你大爷,翔炎,11082
55,轻小说,掌门低调点,幼儿园一把手,11004
56,仙侠,这是我的星球,姬叉,10863
57,轻小说,世界树的游戏,咯嘣,10755
58,玄幻,最初进化,卷土,10215
59,玄幻,斗罗大陆IV终极斗罗,唐家三少,10038
60,玄幻,诡秘之主,爱潜水的乌贼,9760
61,都市,奶爸学园,剑沉黄海,9640
62,科幻,全球神祇时代,一夕成道,9390
63,科幻,玩家凶猛,黑灯夏火,9156
64,历史,小阁老,三戒大师,9075
65,游戏,神秀之主,文抄公,8856
66,都市,颠覆了这是皇帝聊天群,黑血粉,8807
67,轻小说,我在决斗都市玩卡牌,名称被占用,8734
68,历史,数风流人物,瑞根,8546
69,轻小说,我家老婆来自一千年前,花还没开,8502
70,都市,高龄巨星,蠢蠢凡愚QD,8490
71,悬疑,聊斋路长生志,天下白兔,8272
72,都市,户外直播间,昙花落,7996
73,历史,梦回大明春,王梓钧,7988
74,仙侠,大周仙吏,荣小荣,7835
75,游戏,末日拼图游戏,更从心,7778
76,玄幻,万古神帝,飞天鱼,7499
77,游戏,我真没针对法爷,十年一键,7393
78,仙侠,玄浑道章,误道者,7360
79,玄幻,白骨大圣,咬火,7124
80,游戏,我快亏成麻瓜了,江公子阿宝,7032
81,玄幻,凶猛道侣也重生了,雨下的好大,6963
82,仙侠,洪荒关系户,清风小道童,6895
83,玄幻,旧日之箓,熊狼狗,6845
84,都市,我只会拍烂片啊,巫马行,6826
85,科幻,全球迈入神话时代,最终永恒,6758
86,奇幻,天道方程式,二目,6672
87,都市,信息全知者,魔性沧月,6659
88,仙侠,御九天,骷髅精灵,6650
89,都市,重生之我真没想当男神,周一口鸟,6608
90,玄幻,开局签到如来神掌,回到原初,6608
91,玄幻,我的徒弟都是大反派,谋生任转蓬,6576
92,仙侠,妖女哪里逃,开荒,6455
93,仙侠,明尊,辰一十一,6447
94,轻小说,我的云养女友,常世,6433
95,轻小说,我对恶魔果实没有兴趣,翼赤火,6399
96,玄幻,冷宫签到八十年，我举世无,女孩那么可爱,6398
97,科幻,我的细胞监狱,穿黄衣的阿肥,6235
98,仙侠,半仙,跃千愁,6206
99,科幻,高人竟在我身边,晨星LL,6203
100,游戏,什么叫游走型中单啊,这很科学啊,6197
